cultura,tipo,COL
Abacate,PER,0
Abacaxi*,PER,0
Algodão arbóreo (em caroço),TEM,0
Algodão herbáceo (em caroço),TEM,0
Alho,TEM,0
Amendoim (em casca),TEM,0
Arroz (em casca),TEM,1
Aveia (em grão),TEM,1
Azeitona,TEM,0
Açaí,PER,0
Banana (cacho),PER,0
Batata-doce,TEM,0
Batata-inglesa,TEM,0
Borracha (látex coagulado),PER,0
Cacau (em amêndoa),PER,0
Café (em grão) Arábica,PER,0
Café (em grão) Canephora,PER,0
Café (em grão) Total,PER,0
Cana-de-açúcar,TEM,0
Caqui,PER,0
Castanha de caju,PER,0
Cebola,TEM,0
Centeio (em grão),TEM,1
Cevada (em grão),TEM,1
Coco-da-baía*,PER,0
Dendê (cacho de coco),PER,0
Erva-mate (folha verde),PER,0
Ervilha (em grão),TEM,1
Fava (em grão),TEM,1
Feijão (em grão),TEM,1
Figo,PER,0
Fumo (em folha),TEM,0
Girassol (em grão),TEM,1
Goiaba,PER,0
Guaraná (semente),PER,0
Juta (fibra),TEM,0
Laranja,PER,0
Limão,PER,0
Linho (semente),TEM,1
Malva (fibra),TEM,0
Mamona (baga),TEM,0
Mamão,PER,0
Mandioca,TEM,0
Manga,PER,0
Maracujá,PER,0
Marmelo,PER,0
Maçã,PER,0
Melancia,TEM,0
Melão,TEM,0
Milho (em grão),TEM,1
Noz (fruto seco),TEM,0
Palmito,TEM,0
Pera,PER,0
Pimenta-do-reino,PER,0
Pêssego,PER,0
Sisal ou agave (fibra),PER,0
Soja (em grão),TEM,1
Sorgo (em grão),TEM,1
Tangerina,PER,0
Tomate,TEM,0
Trigo (em grão),TEM,1
Triticale (em grão),TEM,1
Urucum (semente),PER,0
Uva,PER,0
Chá-da-índia (folha verde),PER,0
Rami (fibra),TEM,0
Tungue (fruto seco),PER,0
